"Dynamic Send: Asset Title","Archived Date","Product","Sub-Region","Original Industry","Product Interest","Producer","Region","Country","Language","Contact Type","Company Size","Industry"
"IE_Trusted Services_The Real Cost of Data Downtime and How It Can Stall Innovati","5/30/2026","Trusted Services","UK","","Trusted Services","Sophie Walsh","EMEA","Gibraltar; Guernsey; Jersey; United Kingdom","English","Customer; Prospect","ESB; SMB; MM; GB",""
"IE_Platform_Security Center Datasheet","5/30/2026","Trusted Services","Ireland","","Trusted Services","Orla Reaper-Reynolds","EMEA","Ireland","English","Customer; Prospect","ESB; SMB; MM; GB",""
"IE_Platform_Shield Datasheet","5/30/2026","Trusted Services","Ireland","","Trusted Services","Orla Reaper-Reynolds","EMEA","Ireland","English","Customer; Prospect","ESB; SMB; MM; GB",""
"IE_Platform_Shield Field Audit Trail Datasheet","5/30/2026","Trusted Services","Ireland","","Platform; Trusted Services","Sophie Walsh","EMEA","Ireland","English","Customer; Prospect","ESB; SMB; MM; GB",""
"IE_Platform_Shield Platform Encryption Datasheet","5/30/2026","Trusted Services","Ireland","","Trusted Services","Sophie Walsh","EMEA","Ireland","English","Customer; Prospect","ESB; SMB; MM; GB",""
"IE_Platform_3 Rs of Modern Data Resilience","5/31/2026","Trusted Services","Ireland","","Trusted Services","Orla Reaper-Reynolds","EMEA","Ireland","English","Customer; Prospect","ESB; SMB; MM; GB",""
"PT_Backup & Recover Datasheet","5/30/2026","Trusted Services","Portugal","","Trusted Services","Alessia Zucco","EMEA","Portugal","Portuguese","Customer; Prospect","SB; ESB; SMB; SMB SNR; GRB; MM; GB; EBU",""
"PT_Archive Datasheet","5/30/2026","Trusted Services","Portugal","","Trusted Services","Alessia Zucco","EMEA","Portugal","Portuguese","Customer; Prospect","SB; ESB; SMB; SMB SNR; GRB; MM; GB; EBU",""
"PT_Shield Datasheet","5/30/2026","Trusted Services","Portugal","","Trusted Services","Alessia Zucco","EMEA","Portugal","Portuguese","Customer; Prospect","SB; ESB; SMB; SMB SNR; GRB; MM; GB; EBU",""
"DE_AT_Platform_Trusted Services_Trusted Services Solution Brief_Sichere, rechtsk","5/30/2026","Agentforce","Germany","","Trusted Services","Mamun Rahman","EMEA","Germany","German","Customer; Prospect","ESB; SMB; SMB SNR; MM; GB",""
"PT_State of Sales, 6th Edition","5/19/2026","Agentforce Sales","Portugal","","Agentforce Revenue Management; Agentforce Sales; Sales Cloud PRM; Salesforce Billing; Salesforce CPQ; Salesforce Maps","Alessia Zucco","EMEA","Portugal","Portuguese","Customer; Prospect","ESB; GRB; MM; GB; EBU",""
"DE_AT_Platform: Data Mask & Seed Datasheet","5/30/2026","Platform","Germany","","Platform","Mamun Rahman","EMEA","Germany","German","Customer; Prospect","ESB; SMB; SMB SNR; MM; GB",""
"SE_GIM_Sales Cloud_sales-agent-playbook","4/23/2026","Agentforce Sales","Sweden","","Agentforce Sales","Mamun Rahman","EMEA","Sweden","English","Prospect","MM; GB; EBU",""
"DK_GIM_Sales Cloud_sales-agent-playbook","4/23/2026","Agentforce Sales","Denmark","","Agentforce Sales","Mamun Rahman","EMEA","Denmark","English","Prospect","MM; GB; EBU",""
"BE_GIM_Sales Cloud_sales-agent-playbook","4/23/2026","Agentforce Sales","Belgium","","Agentforce Sales","Mamun Rahman","EMEA","Belgium","English","Prospect","MM; GB; EBU",""
"FI_GIM_Sales Cloud_sales-agent-playbook","4/23/2026","Agentforce Sales","Finland","","Agentforce Sales","Mamun Rahman","EMEA","Finland","English","Prospect","MM; GB; EBU",""
"NO_GIM_Sales Cloud_sales-agent-playbook","4/23/2026","Agentforce Sales","Norway","","Agentforce Sales","Mamun Rahman","EMEA","Norway","English","Prospect","MM; GB; EBU",""
"DE_Sales Agent Playbook_new","4/23/2026","Agentforce Sales","Germany","","Agentforce; Agentforce Revenue Management; Agentforce Sales; Sales Cloud Essentials; Sales Cloud PRM; Salesforce Billing; Salesforce CPQ; Salesforce Customer 360; Salesforce Maps","Carolin Schmitz","EMEA","Germany","German","Customer; Prospect","ESB; SMB; SMB SNR; MM; GB",""
